PK DataSet\Algorithm,C99_20_9_false,C99_20_9_true,C99_20_11_false,C99_20_11_true,C99_40_9_false,C99_40_9_true,C99_40_11_false,C99_40_11_true,C99_60_9_false,C99_60_9_true,C99_60_11_false,C99_60_11_true,C99_80_9_false,C99_80_9_true,C99_80_11_false,C99_80_11_true,C99_100_9_false,C99_100_9_true,C99_100_11_false,C99_100_11_true
Fabio/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.312500,0.312500,0.312500,0.312500,0.375000,0.187500,0.375000,0.250000,0.500000,0.312500,0.500000,0.312500,0.625000,0.500000,0.562500,0.500000,0.687500,0.687500,0.687500,0.687500
Fabio/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.347826,0.260870,0.347826,0.260870,0.347826,0.391304,0.347826,0.391304,0.347826,0.391304,0.347826,0.391304,0.478261,0.391304,0.478261,0.391304,0.521739,0.521739,0.521739,0.521739
Fabio/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,0.125000,0.125000,0.125000,0.125000,0.250000,0.250000,0.250000,0.250000,0.500000,0.500000,0.500000,0.500000
Fabio/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.333333,0.233333,0.333333,0.366667,0.233333,0.333333,0.233333,0.400000,0.333333,0.366667,0.333333,0.400000,0.566667,0.500000,0.566667,0.500000,0.700000,0.700000,0.700000,0.700000
Fabio/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.333333,0.333333,0.333333,0.333333,0.291667,0.375000,0.291667,0.375000,0.333333,0.583333,0.333333,0.500000,0.500000,0.541667,0.500000,0.541667,0.708333,0.708333,0.708333,0.708333
Fabio/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.318182,0.227273,0.318182,0.227273,0.454545,0.272727,0.454545,0.363636,0.500000,0.409091,0.500000,0.409091,0.545455,0.545455,0.545455,0.545455,0.727273,0.727273,0.727273,0.727273
Gustavo/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Gustavo/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Gustavo/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Gustavo/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Gustavo/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Gustavo/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
