WINDIFF DataSet\Algorithm,C99_20_9_false,C99_20_9_true,C99_20_11_false,C99_20_11_true,C99_40_9_false,C99_40_9_true,C99_40_11_false,C99_40_11_true,C99_60_9_false,C99_60_9_true,C99_60_11_false,C99_60_11_true,C99_80_9_false,C99_80_9_true,C99_80_11_false,C99_80_11_true,C99_100_9_false,C99_100_9_true,C99_100_11_false,C99_100_11_true
Fabio/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.411765,0.411765,0.411765,0.411765,0.470588,0.235294,0.470588,0.352941,0.588235,0.352941,0.588235,0.352941,0.647059,0.529412,0.529412,0.529412,0.647059,0.647059,0.647059,0.647059
Fabio/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.333333,0.250000,0.333333,0.250000,0.375000,0.375000,0.375000,0.375000,0.416667,0.416667,0.416667,0.416667,0.541667,0.458333,0.541667,0.458333,0.583333,0.583333,0.583333,0.583333
Fabio/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.444444,0.444444,0.444444,0.444444,0.666667,0.666667,0.666667,0.666667
Fabio/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.354839,0.225806,0.354839,0.354839,0.258065,0.322581,0.258065,0.387097,0.387097,0.387097,0.387097,0.387097,0.612903,0.548387,0.612903,0.548387,0.741935,0.741935,0.741935,0.741935
Fabio/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.400000,0.400000,0.400000,0.400000,0.360000,0.440000,0.360000,0.440000,0.360000,0.600000,0.360000,0.520000,0.480000,0.560000,0.480000,0.560000,0.680000,0.680000,0.680000,0.680000
Fabio/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.347826,0.260870,0.347826,0.260870,0.478261,0.304348,0.478261,0.391304,0.565217,0.478261,0.565217,0.478261,0.608696,0.608696,0.608696,0.608696,0.739130,0.739130,0.739130,0.739130
Gustavo/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.764706,0.764706,0.764706,0.764706,0.705882,0.588235,0.705882,0.588235,0.588235,0.470588,0.588235,0.470588,0.411765,0.294118,0.411765,0.294118,0.176471,0.176471,0.176471,0.176471
Gustavo/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.560000,0.480000,0.560000,0.560000,0.440000,0.440000,0.520000,0.440000,0.440000,0.440000,0.520000,0.440000,0.400000,0.320000,0.400000,0.320000,0.360000,0.360000,0.360000,0.360000
Gustavo/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.700000,0.700000,0.700000,0.700000,0.500000,0.500000,0.500000,0.500000,0.600000,0.400000,0.600000,0.400000,0.400000,0.400000,0.400000,0.400000,0.200000,0.200000,0.200000,0.200000
Gustavo/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.500000,0.500000,0.500000,0.375000,0.500000,0.312500,0.500000,0.375000,0.343750,0.281250,0.343750,0.281250,0.468750,0.343750,0.406250,0.343750,0.500000,0.500000,0.500000,0.500000
Gustavo/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.730769,0.807692,0.730769,0.807692,0.653846,0.576923,0.653846,0.576923,0.461538,0.538462,0.461538,0.538462,0.384615,0.384615,0.384615,0.384615,0.269231,0.269231,0.269231,0.269231
Gustavo/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.461538,0.461538,0.384615,0.384615,0.538462,0.461538,0.538462,0.384615,0.423077,0.346154,0.423077,0.423077,0.423077,0.423077,0.423077,0.423077,0.461538,0.461538,0.461538,0.461538
